Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
134,ST,94536,835400,0,3,Downtown / BART,False
135,DR,94538,832800,0,3,Centerville,False
136,WAY,94538,832710,0,3,Centerville,False
137,ST,94536,835000,0,3,Downtown / BART,True
138,WAY,94538,832600,1,3,Centerville,True
139,DR,94536,835300,0,3,Downtown / BART,True
140,BLVD,94538,835310,0,3,Downtown / BART,True
141,AVE,94536,835040,0,3,Downtown / BART,False
142,AVE,94536,835040,0,3,Downtown / BART,False
143,DR,94536,832210,2,3,Centerville,True
144,BLVD,94536,835000,0,3,Downtown / BART,True
145,CT,94538,832800,0,3,Centerville,False
146,WAY,94538,832600,1,3,Centerville,True
147,AVE,94538,832400,0,3,Centerville,True
148,CMN,94538,832620,2,3,Centerville,False
149,CT,94536,835000,0,3,Downtown / BART,False
150,CMN,94536,835100,0,3,Centerville,False
151,DR,94538,832620,2,3,Centerville,False
152,LN,94538,832700,1,3,Centerville,False
153,AVE,94538,832600,1,3,Centerville,False
154,TER,94538,832610,2,3,Centerville,False
155,TER,94536,832110,0,3,Centerville,False
156,DR,94536,835300,0,3,Downtown / BART,True
157,BLVD,94538,832700,2,3,Centerville,True
158,ST,94536,832110,0,3,Centerville,False
159,PL,94536,835000,0,3,Downtown / BART,False
160,DR,94538,832900,0,3,Centerville,False
161,ST,94538,832800,0,3,Centerville,False
162,CT,94536,835100,0,3,Centerville,False
163,LN,94538,832900,0,3,Centerville,False
164,RD,94538,832900,0,3,Centerville,False
165,BLVD,94536,832210,1,3,Centerville,True
166,LN,94538,832900,0,3,Centerville,False
167,ST,94536,835400,0,3,Downtown / BART,False
168,TER,94538,835420,0,3,Downtown / BART,False
169,LOOP,94536,835010,0,3,Centerville,False
170,WAY,94536,832400,0,3,Centerville,False
171,DR,94538,832810,0,3,Centerville,False
172,DR,94538,832800,0,3,Centerville,False
173,BLVD,94538,835310,0,3,Downtown / BART,True
174,AVE,94538,832710,0,3,Centerville,False
175,ST,94536,835000,0,3,Downtown / BART,True
176,CT,94538,832600,1,3,Centerville,False
177,CT,94536,835100,0,3,Centerville,False
178,GRN,94536,835420,0,3,Downtown / BART,False
179,RD,94538,832810,0,3,Centerville,False
180,AVE,94538,832600,1,3,Centerville,False
181,DR,94536,835400,0,3,Downtown / BART,False
182,DR,94536,832110,0,3,Centerville,False
183,CT,94536,832400,0,3,Centerville,False
184,CT,94538,832800,0,3,Centerville,False
185,ST,94536,832110,0,3,Centerville,False
186,CMN,94536,835100,0,3,Centerville,False
187,WAY,94536,835100,0,3,Centerville,False
188,ST,94536,835100,0,3,Centerville,False
189,CT,94536,835400,0,3,Downtown / BART,False
190,BLVD,94538,835310,0,3,Downtown / BART,True
191,AVE,94536,832210,2,3,Centerville,False
192,DR,94536,831730,0,3,Downtown / BART,False
193,DR,94536,835300,0,3,Downtown / BART,True
194,DR,94536,835300,0,3,Downtown / BART,True
195,BLVD,94538,832700,2,3,Centerville,True
196,ST,94538,832800,0,3,Centerville,False
197,WAY,94538,832620,2,3,Centerville,False
198,CT,94536,835010,0,3,Centerville,False
199,WAY,94536,832210,2,3,Centerville,False
200,BLVD,94538,835310,0,3,Downtown / BART,False
201,BLVD,94538,832700,2,3,Centerville,True
202,CMN,94538,835310,0,3,Downtown / BART,False
203,AVE,94538,835300,0,3,Downtown / BART,True
204,AVE,94536,835040,0,3,Downtown / BART,False
205,CT,94538,832600,1,3,Centerville,False
206,ST,94536,835000,0,3,Downtown / BART,True
207,CMN,94536,835100,0,3,Centerville,False
208,WAY,94536,832400,0,3,Centerville,False
209,CMN,94536,835100,0,3,Centerville,False
210,WAY,94538,832620,2,3,Centerville,False
211,DR,94538,832900,0,3,Centerville,False
212,ST,94536,835300,0,3,Downtown / BART,False
213,AVE,94536,835300,0,3,Downtown / BART,True
214,DR,94536,831730,0,3,Downtown / BART,False
215,ST,94536,832110,0,3,Centerville,False
216,WAY,94538,832610,2,3,Centerville,True
217,BLVD,94538,835310,0,3,Downtown / BART,True
218,CMN,94536,835010,0,3,Centerville,False
219,CMN,94538,832610,1,3,Centerville,False
220,CMN,94538,835310,0,3,Downtown / BART,False
221,BLVD,94538,835310,0,3,Downtown / BART,True
222,WAY,94536,832210,2,3,Centerville,False
223,AVE,94538,835300,0,3,Downtown / BART,True
224,ST,94536,835010,0,3,Centerville,False
225,BLVD,94538,832700,2,3,Centerville,True
226,PKWY,94536,835300,0,3,Downtown / BART,True
227,PL,94536,835500,0,3,Downtown / BART,False
228,DR,94536,835300,0,3,Downtown / BART,True
229,CT,94536,832110,0,3,Centerville,False
230,AVE,94538,832600,1,3,Centerville,False
231,CMN,94536,835300,0,3,Downtown / BART,False
232,ST,94536,835200,0,3,Centerville,True
233,AVE,94538,835300,0,3,Downtown / BART,True
234,LN,94538,832900,0,3,Centerville,False
235,CT,94538,832800,0,3,Centerville,False
236,UKN,94536,835100,0,3,Centerville,False
237,CT,94536,835500,0,3,Downtown / BART,False
