Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid,nVoters,nAff,nPAVs,nDEMs,nREPs,nNPPs,nVScorePos,nVScore,nVScorePct,E34_nVotesPos,E34_nVotes,E34_nVotesPct,E56_nVotesPos,E56_nVotes,E56_nVotesPct,E78_nVotesPos,E78_nVotes,E78_nVotesPct,E12_nVotesPos,E12_nVotes,E12_nVotesPct,E14_nVotesPos,E14_nVotes,E14_nVotesPct,E16_nVotesPos,E16_nVotes,E16_nVotesPct,Eap_nVotesPos,Eap_nVotes,Eap_nVotesPct,Eag_nVotesPos,Eag_nVotes,Eag_nVotesPct,E1_nVotesPos,E1_nVotes,E1_nVotesPct,E2_nVotesPos,E2_nVotes,E2_nVotesPct,E3_nVotesPos,E3_nVotes,E3_nVotesPct,E4_nVotesPos,E4_nVotes,E4_nVotesPct,E5_nVotesPos,E5_nVotes,E5_nVotesPct,E6_nVotesPos,E6_nVotes,E6_nVotesPct,PartiesInHH,mostAffls,mixedAffls,allAff,uniformAff
793,CT,94538,832620,1,3,Centerville,False,793,2,2,1,1,0,0,22.0126,8.3069,0.3773702334117733,4,3,0.75,8,4,0.5,12,5,0.4166666666666667,4,3,0.75,4,1,0.25,4,1,0.25,6,1,0.16666666666666666,6,4,0.6666666666666666,2,1,0.5,2,2,1.0,2,0,0.0,2,1,0.5,2,0,0.0,2,1,0.5,DEM AI,TIE,True,True,False
794,AVE,94536,835500,0,3,Downtown / BART,True,794,2,2,0,2,0,0,16.5066,5.8021,0.35150182351301906,2,1,0.5,4,2,0.5,8,3,0.375,2,1,0.5,2,1,0.5,4,1,0.25,4,0,0.0,4,3,0.75,1,0,0.0,1,1,1.0,1,0,0.0,1,1,1.0,2,0,0.0,2,1,0.5,DEM DEM,DEM,False,True,True
795,OTH,94538,832600,1,3,Centerville,False,795,3,3,0,1,2,0,33.0189,21.6063,0.6543615929058811,6,3,0.5,12,5,0.4166666666666667,18,10,0.5555555555555556,6,3,0.5,6,2,0.3333333333333333,6,5,0.8333333333333334,9,2,0.2222222222222222,9,8,0.8888888888888888,3,0,0.0,3,3,1.0,3,0,0.0,3,2,0.6666666666666666,3,2,0.6666666666666666,3,3,1.0,REP REP DEM,REP,True,True,False
796,WAY,94536,832400,0,3,Centerville,False,796,1,1,0,1,0,0,11.0063,5.8021,0.5271617164714755,2,1,0.5,4,2,0.5,6,3,0.5,2,1,0.5,2,1,0.5,2,1,0.5,3,0,0.0,3,3,1.0,1,0,0.0,1,1,1.0,1,0,0.0,1,1,1.0,1,0,0.0,1,1,1.0,DEM,DEM,False,True,True
797,BLVD,94538,832700,2,3,Centerville,True,797,1,1,1,1,0,0,10.0031,1.5016,0.15011346482590399,1,1,1.0,3,1,0.3333333333333333,5,1,0.2,1,1,1.0,2,0,0.0,2,0,0.0,2,0,0.0,3,1,0.3333333333333333,0,0,-1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,DEM,DEM,False,True,True
798,BLVD,94538,832700,2,3,Centerville,True,798,1,1,0,1,0,0,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,DEM,DEM,False,True,True
799,CMN,94538,835310,0,3,Downtown / BART,False,799,4,2,2,2,0,2,26.8085,21.6033,0.8058377007292464,2,1,0.5,7,3,0.42857142857142855,13,9,0.6923076923076923,2,1,0.5,5,2,0.4,6,6,1.0,6,3,0.5,7,6,0.8571428571428571,1,0,0.0,1,1,1.0,2,0,0.0,3,2,0.6666666666666666,3,3,1.0,3,3,1.0,NPP DEM NPP DEM,DEM,False,False,False
800,AVE,94538,832400,0,3,Centerville,False,800,3,1,0,1,0,2,30.5141,9.0019,0.29500788160227565,4,1,0.25,10,1,0.1,16,4,0.25,4,1,0.25,6,0,0.0,6,3,0.5,8,0,0.0,8,4,0.5,2,0,0.0,2,1,0.5,3,0,0.0,3,0,0.0,3,0,0.0,3,3,1.0,NPP NPP DEM,DEM,False,False,False
801,OTH,94536,835010,0,3,Centerville,False,801,3,3,3,3,0,0,33.0189,30.0187,0.9091368882670228,6,6,1.0,12,12,1.0,18,17,0.9444444444444444,6,6,1.0,6,6,1.0,6,5,0.8333333333333334,9,8,0.8888888888888888,9,9,1.0,3,3,1.0,3,3,1.0,3,3,1.0,3,3,1.0,3,2,0.6666666666666666,3,3,1.0,DEM DEM DEM,DEM,False,True,True
802,CMN,94538,832610,1,3,Centerville,False,802,2,0,2,0,0,2,11.0063,10.0031,0.9088522028292887,2,1,0.5,4,3,0.75,6,5,0.8333333333333334,2,1,0.5,2,2,1.0,2,2,1.0,3,2,0.6666666666666666,3,3,1.0,1,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,NPP NPP,NPP,False,False,True
803,WAY,94538,832600,1,3,Centerville,False,803,2,1,0,1,0,1,22.0126,6.501799999999999,0.29536719878614975,4,1,0.25,8,1,0.125,12,3,0.25,4,1,0.25,4,0,0.0,4,2,0.5,6,0,0.0,6,3,0.5,2,0,0.0,2,1,0.5,2,0,0.0,2,0,0.0,2,0,0.0,2,2,1.0,NPP DEM,DEM,False,False,False
804,ST,94536,832110,0,3,Centerville,False,804,2,1,2,0,0,1,22.0126,8.3022,0.3771567193334726,4,1,0.25,8,2,0.25,12,4,0.3333333333333333,4,1,0.25,4,1,0.25,4,2,0.5,6,0,0.0,6,4,0.6666666666666666,2,0,0.0,2,1,0.5,2,0,0.0,2,1,0.5,2,0,0.0,2,2,1.0,AI NPP,AI,False,False,False
805,OTH,94536,835400,0,3,Downtown / BART,False,805,1,1,0,0,1,0,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,REP,REP,False,True,True
806,CMN,94538,832910,0,3,Centerville,False,806,1,1,1,1,0,0,11.0063,4.0017,0.3635826753768296,2,1,0.5,4,1,0.25,6,2,0.3333333333333333,2,1,0.5,2,0,0.0,2,1,0.5,3,0,0.0,3,2,0.6666666666666666,1,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0,DEM,DEM,False,True,True
807,WAY,94536,832210,1,3,Centerville,False,807,1,0,1,0,0,1,11.0063,10.0031,0.9088522028292887,2,1,0.5,4,3,0.75,6,5,0.8333333333333334,2,1,0.5,2,2,1.0,2,2,1.0,3,2,0.6666666666666666,3,3,1.0,1,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,NPP,NPP,False,False,True
808,ST,94538,832800,0,3,Centerville,False,808,6,4,4,4,0,2,62.332199999999986,29.014499999999998,0.46548172533618265,10,5,0.5,21,9,0.42857142857142855,33,15,0.45454545454545453,10,5,0.5,11,4,0.36363636363636365,12,6,0.5,16,7,0.4375,17,8,0.47058823529411764,5,2,0.4,5,3,0.6,5,2,0.4,6,2,0.3333333333333333,6,3,0.5,6,3,0.5,DEM NPP DEM DEM NPP DEM,DEM,False,False,False
809,CMN,94538,832910,0,3,Centerville,False,809,2,2,2,1,1,0,10.0031,1.5016,0.15011346482590399,1,1,1.0,3,1,0.3333333333333333,5,1,0.2,1,1,1.0,2,0,0.0,2,0,0.0,2,0,0.0,3,1,0.3333333333333333,0,0,-1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,REP DEM,TIE,True,True,False
810,AVE,94538,832210,1,3,Centerville,True,810,4,4,0,4,0,0,33.0189,19.611,0.5939325658940788,6,4,0.6666666666666666,12,6,0.5,18,10,0.5555555555555556,6,4,0.6666666666666666,6,2,0.3333333333333333,6,4,0.6666666666666666,9,4,0.4444444444444444,9,6,0.6666666666666666,3,2,0.6666666666666666,3,2,0.6666666666666666,3,0,0.0,3,2,0.6666666666666666,3,2,0.6666666666666666,3,2,0.6666666666666666,DEM DEM DEM DEM,DEM,False,True,True
811,OTH,94536,835300,0,3,Downtown / BART,True,811,2,2,0,1,1,0,22.0126,8.0034,0.3635826753768296,4,2,0.5,8,2,0.25,12,4,0.3333333333333333,4,2,0.5,4,0,0.0,4,2,0.5,6,0,0.0,6,4,0.6666666666666666,2,0,0.0,2,2,1.0,2,0,0.0,2,0,0.0,2,0,0.0,2,2,1.0,REP DEM,TIE,True,True,False
812,WAY,94536,832210,2,3,Centerville,False,812,1,1,1,1,0,0,0.0,0.0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,DEM,DEM,False,True,True
813,ST,94538,832800,0,3,Centerville,False,813,2,1,2,1,0,1,22.0126,22.0126,1.0,4,4,1.0,8,8,1.0,12,12,1.0,4,4,1.0,4,4,1.0,4,4,1.0,6,6,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,NPP DEM,DEM,False,False,False
814,OTH,94538,832610,2,3,Centerville,True,814,1,0,0,0,0,1,11.0063,3.5033,0.31829951936618117,2,1,0.5,4,1,0.25,6,2,0.3333333333333333,2,1,0.5,2,0,0.0,2,1,0.5,3,1,0.3333333333333333,3,1,0.3333333333333333,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0,NPP,NPP,False,False,True
815,PL/TER,94538,832610,2,3,Centerville,False,815,2,2,0,2,0,0,21.0094,17.6046,0.8379392081639648,3,2,0.6666666666666666,7,4,0.5714285714285714,11,8,0.7272727272727273,3,2,0.6666666666666666,4,2,0.5,4,4,1.0,5,2,0.4,6,6,1.0,1,0,0.0,2,2,1.0,2,0,0.0,2,2,1.0,2,2,1.0,2,2,1.0,DEM DEM,DEM,False,True,True
816,CT,94536,835100,0,3,Centerville,False,816,3,2,3,1,1,0,24.5127,5.0002,0.2039840572437961,4,0,0.0,8,0,0.0,13,2,0.15384615384615385,4,0,0.0,4,0,0.0,5,2,0.4,6,0,0.0,7,2,0.2857142857142857,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,2,0.6666666666666666,DEM UNK REP,TIE,True,False,False
817,CMN,94536,835100,0,3,Centerville,False,817,4,4,2,4,0,0,27.5129,16.503899999999998,0.5998604291078004,4,2,0.5,8,2,0.25,14,7,0.5,4,2,0.5,4,0,0.0,6,5,0.8333333333333334,7,2,0.2857142857142857,7,5,0.7142857142857143,2,0,0.0,2,2,1.0,2,0,0.0,2,0,0.0,3,2,0.6666666666666666,3,3,1.0,DEM DEM DEM DEM,DEM,False,True,True
818,PL/TER,94538,832910,0,3,Centerville,False,818,4,2,0,0,1,2,44.0252,0.0,0.0,8,0,0.0,16,0,0.0,24,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,12,0,0.0,12,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,REP PF NPP NPP,TIE,True,False,False
819,CT,94536,831730,0,3,Downtown / BART,False,819,3,3,3,3,0,0,33.0189,17.005,0.5150080711350166,6,2,0.3333333333333333,12,4,0.3333333333333333,18,8,0.4444444444444444,6,2,0.3333333333333333,6,2,0.3333333333333333,6,4,0.6666666666666666,9,3,0.3333333333333333,9,5,0.5555555555555556,3,0,0.0,3,2,0.6666666666666666,3,1,0.3333333333333333,3,1,0.3333333333333333,3,2,0.6666666666666666,3,2,0.6666666666666666,DEM DEM DEM,DEM,False,True,True
820,ST,94538,835310,0,3,Downtown / BART,True,820,1,1,1,1,0,0,2.5001,2.5001,1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,DEM,DEM,False,True,True
821,BLVD,94538,832700,1,3,Centerville,True,821,2,2,2,2,0,0,2.5001,2.5001,1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,DEM DEM,DEM,False,True,True
822,DR,94536,835300,0,3,Downtown / BART,True,822,1,1,1,0,0,0,0.0,0.0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,AI,AI,False,True,True
823,BLVD,94538,832700,2,3,Centerville,True,823,1,1,1,1,0,0,5.5003,3.0002,0.5454611566641819,0,0,-1.0,0,0,-1.0,2,1,0.5,0,0,-1.0,0,0,-1.0,2,1,0.5,1,1,1.0,1,0,0.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,1,0,0.0,DEM,DEM,False,True,True
824,WAY,94536,835040,0,3,Downtown / BART,False,824,2,0,2,0,0,2,5.0002,5.0002,1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,0,0,-1.0,2,2,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,NPP NPP,NPP,False,False,True
825,DR,94538,832810,0,3,Centerville,False,825,2,1,1,1,0,1,11.0063,11.0063,1.0,2,2,1.0,4,4,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,3,3,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,NPP DEM,DEM,False,False,False
826,AVE,94536,835300,0,3,Downtown / BART,True,826,1,0,1,0,0,1,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,NPP,NPP,False,False,True
827,CMN,94536,835420,0,3,Downtown / BART,False,827,2,2,1,0,2,0,13.5064,12.5032,0.9257241011668542,2,1,0.5,4,3,0.75,7,6,0.8571428571428571,2,1,0.5,2,2,1.0,3,3,1.0,3,2,0.6666666666666666,4,4,1.0,1,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,2,2,1.0,REP REP,REP,False,True,True
828,DR,94538,832710,0,3,Centerville,False,828,5,4,2,3,1,1,47.02069999999999,23.4177,0.4980295912225893,6,6,1.0,14,10,0.7142857142857143,24,14,0.5833333333333334,6,6,1.0,8,4,0.5,10,4,0.4,12,7,0.5833333333333334,12,7,0.5833333333333334,3,3,1.0,3,3,1.0,4,3,0.75,4,1,0.25,5,1,0.2,5,3,0.6,DEM NPP REP DEM DEM,DEM,True,False,False
829,DR,94536,832110,0,3,Centerville,False,829,1,1,1,0,1,0,11.0063,11.0063,1.0,2,2,1.0,4,4,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,3,3,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,REP,REP,False,True,True
830,PL/TER,94536,835100,0,3,Centerville,False,830,2,2,1,0,2,0,20.0062,2.5001,0.12496626045925764,2,0,0.0,6,0,0.0,10,1,0.1,2,0,0.0,4,0,0.0,4,1,0.25,4,0,0.0,6,1,0.16666666666666666,0,0,-1.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,1,0.5,REP REP,REP,False,True,True
831,CMN,94536,835100,0,3,Centerville,False,831,2,2,2,0,0,0,19.5078,13.1028,0.6716697936210132,2,1,0.5,6,3,0.5,10,6,0.6,2,1,0.5,4,2,0.5,4,3,0.75,5,1,0.2,5,5,1.0,1,0,0.0,1,1,1.0,2,0,0.0,2,2,1.0,2,1,0.5,2,2,1.0,LIB AI,TIE,True,True,False
832,PL/TER,94538,835420,0,3,Downtown / BART,False,832,2,1,2,0,1,1,22.0126,4.5028,0.20455557271744365,4,1,0.25,8,3,0.375,12,3,0.25,4,1,0.25,4,2,0.5,4,0,0.0,6,1,0.16666666666666666,6,2,0.3333333333333333,2,0,0.0,2,1,0.5,2,1,0.5,2,1,0.5,2,0,0.0,2,0,0.0,REP NPP,REP,False,False,False
833,AVE,94536,835200,0,3,Centerville,True,833,1,0,0,0,0,1,10.0031,4.0017,0.4000459857444192,1,1,1.0,3,1,0.3333333333333333,5,2,0.4,1,1,1.0,2,0,0.0,2,1,0.5,2,0,0.0,3,2,0.6666666666666666,0,0,-1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0,NPP,NPP,False,False,True
834,PL/TER,94536,835500,0,3,Downtown / BART,False,834,2,2,2,2,0,0,22.0126,22.0126,1.0,4,4,1.0,8,8,1.0,12,12,1.0,4,4,1.0,4,4,1.0,4,4,1.0,6,6,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,DEM DEM,DEM,False,True,True
835,CT,94538,832600,1,3,Centerville,False,835,2,2,1,1,1,0,22.0126,8.0061,0.36370533240053426,4,2,0.5,8,4,0.5,12,5,0.4166666666666667,4,2,0.5,4,2,0.5,4,1,0.25,6,2,0.3333333333333333,6,3,0.5,2,1,0.5,2,1,0.5,2,1,0.5,2,1,0.5,2,0,0.0,2,1,0.5,DEM REP,TIE,True,True,False
836,DR,94538,832810,0,3,Centerville,False,836,3,3,2,3,0,0,29.5109,14.003800000000002,0.47452975002456727,3,2,0.6666666666666666,9,2,0.2222222222222222,15,6,0.4,3,2,0.6666666666666666,6,0,0.0,6,4,0.6666666666666666,7,2,0.2857142857142857,8,4,0.5,1,0,0.0,2,2,1.0,3,0,0.0,3,0,0.0,3,2,0.6666666666666666,3,2,0.6666666666666666,DEM DEM DEM,DEM,False,True,True
837,DR,94536,835300,0,3,Downtown / BART,True,837,1,1,1,0,0,0,0.0,0.0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,AI,AI,False,True,True
838,WAY,94536,832400,0,3,Centerville,False,838,2,0,2,0,0,2,18.307,5.0002,0.2731304965313815,2,0,0.0,5,0,0.0,9,2,0.2222222222222222,2,0,0.0,3,0,0.0,4,2,0.5,4,0,0.0,5,2,0.4,1,0,0.0,1,0,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,2,1.0,NPP NPP,NPP,False,False,True
839,AVE,94538,835300,0,3,Downtown / BART,True,839,1,0,1,0,0,1,0.0,0.0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,NPP,NPP,False,False,True
840,DR,94536,832210,1,3,Centerville,True,840,2,2,1,2,0,0,11.0063,5.2025,0.47268382653571134,2,1,0.5,4,2,0.5,6,3,0.5,2,1,0.5,2,1,0.5,2,1,0.5,3,1,0.3333333333333333,3,2,0.6666666666666666,1,0,0.0,1,1,1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,1,1.0,DEM DEM,DEM,False,True,True
841,CT,94538,832910,0,3,Centerville,False,841,4,3,4,2,0,1,34.813599999999994,30.4056,0.8733828159110234,4,2,0.5,9,5,0.5555555555555556,17,13,0.7647058823529411,4,2,0.5,5,3,0.6,8,8,1.0,8,4,0.5,9,9,1.0,2,0,0.0,2,2,1.0,2,0,0.0,3,3,1.0,4,4,1.0,4,4,1.0,NPP ACP DEM DEM,ACP,True,False,False
842,PL/TER,94538,832910,0,3,Centerville,False,842,2,1,2,1,0,1,22.0126,18.6078,0.8453249502557627,4,3,0.75,8,5,0.625,12,9,0.75,4,3,0.75,4,2,0.5,4,4,1.0,6,3,0.5,6,6,1.0,2,1,0.5,2,2,1.0,2,0,0.0,2,2,1.0,2,2,1.0,2,2,1.0,NPP DEM,DEM,False,False,False
843,CMN,94536,832210,2,3,Centerville,False,843,1,1,1,1,0,0,11.0063,9.2059,0.8364209589053542,2,2,1.0,4,3,0.75,6,5,0.8333333333333334,2,2,1.0,2,1,0.5,2,2,1.0,3,3,1.0,3,2,0.6666666666666666,1,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1,1.0,DEM,DEM,False,True,True
844,CT,94536,832110,0,3,Centerville,False,844,3,1,3,1,0,2,22.0126,15.804200000000002,0.7179615311230841,4,2,0.5,8,3,0.375,12,7,0.5833333333333334,4,2,0.5,4,1,0.25,4,4,1.0,6,2,0.3333333333333333,6,5,0.8333333333333334,2,0,0.0,2,2,1.0,2,0,0.0,2,1,0.5,2,2,1.0,2,2,1.0,DEM NPP NPP,DEM,False,False,False
845,DR,94536,832400,0,3,Centerville,False,845,2,0,0,0,0,2,22.0126,14.0038,0.6361720105757612,4,2,0.5,8,2,0.25,12,6,0.5,4,2,0.5,4,0,0.0,4,4,1.0,6,2,0.3333333333333333,6,4,0.6666666666666666,2,0,0.0,2,2,1.0,2,0,0.0,2,0,0.0,2,2,1.0,2,2,1.0,NPP NPP,NPP,False,False,True
846,AVE,94536,835300,0,3,Downtown / BART,True,846,1,0,0,0,0,1,5.5003,0.0,0.0,0,0,-1.0,0,0,-1.0,2,0,0.0,0,0,-1.0,0,0,-1.0,2,0,0.0,1,0,0.0,1,0,0.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,0,0.0,1,0,0.0,NPP,NPP,False,False,True
847,BLVD,94538,832700,2,3,Centerville,True,847,1,0,0,0,0,1,11.0063,1.5016,0.13643095318135978,2,1,0.5,4,1,0.25,6,1,0.16666666666666666,2,1,0.5,2,0,0.0,2,0,0.0,3,0,0.0,3,1,0.3333333333333333,1,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,NPP,NPP,False,False,True
848,AVE,94536,835040,0,3,Downtown / BART,False,848,3,3,3,3,0,0,30.5141,16.5039,0.5408614378271029,4,2,0.5,10,2,0.2,16,7,0.4375,4,2,0.5,6,0,0.0,6,5,0.8333333333333334,8,2,0.25,8,5,0.625,2,0,0.0,2,2,1.0,3,0,0.0,3,0,0.0,3,2,0.6666666666666666,3,3,1.0,DEM DEM DEM,DEM,False,True,True
849,BLVD,94538,835310,0,3,Downtown / BART,True,849,1,1,1,1,0,0,2.5001,2.5001,1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,DEM,DEM,False,True,True
850,WAY,94536,832210,2,3,Centerville,False,850,1,1,1,1,0,0,5.5003,5.5003,1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,1,1,1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,1,1,1.0,DEM,DEM,False,True,True
851,WAY,94538,832620,2,3,Centerville,False,851,3,3,1,3,0,0,33.0189,5.503299999999999,0.16667120951939643,6,2,0.3333333333333333,12,2,0.16666666666666666,18,3,0.16666666666666666,6,2,0.3333333333333333,6,0,0.0,6,1,0.16666666666666666,9,0,0.0,9,3,0.3333333333333333,3,0,0.0,3,2,0.6666666666666666,3,0,0.0,3,0,0.0,3,0,0.0,3,1,0.3333333333333333,DEM DEM DEM,DEM,False,True,True
852,AVE,94538,832600,1,3,Centerville,False,852,1,1,0,1,0,0,10.0031,1.5016,0.15011346482590399,1,1,1.0,3,1,0.3333333333333333,5,1,0.2,1,1,1.0,2,0,0.0,2,0,0.0,2,0,0.0,3,1,0.3333333333333333,0,0,-1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,DEM,DEM,False,True,True
853,OTH,94538,832600,1,3,Centerville,False,853,3,3,2,2,1,0,32.015699999999995,21.006700000000002,0.6561374575598848,5,3,0.6,11,5,0.45454545454545453,17,10,0.5882352941176471,5,3,0.6,6,2,0.3333333333333333,6,5,0.8333333333333334,8,3,0.375,9,7,0.7777777777777778,2,0,0.0,3,3,1.0,3,1,0.3333333333333333,3,1,0.3333333333333333,3,2,0.6666666666666666,3,3,1.0,REP DEM DEM,REP,True,True,False
854,ST,94536,835400,0,3,Downtown / BART,False,854,1,1,1,0,1,0,11.0063,4.3005,0.3907307632901157,2,0,0.0,4,1,0.25,6,2,0.3333333333333333,2,0,0.0,2,1,0.5,2,1,0.5,3,0,0.0,3,2,0.6666666666666666,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0,1,0,0.0,1,1,1.0,REP,REP,False,True,True
855,PL/TER,94538,832910,0,3,Centerville,False,855,1,1,0,1,0,0,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,DEM,DEM,False,True,True
856,BLVD,94538,832700,2,3,Centerville,True,856,1,1,1,1,0,0,10.0031,4.0017,0.4000459857444192,1,1,1.0,3,1,0.3333333333333333,5,2,0.4,1,1,1.0,2,0,0.0,2,1,0.5,2,0,0.0,3,2,0.6666666666666666,0,0,-1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0,DEM,DEM,False,True,True
857,DR,94536,832210,2,3,Centerville,False,857,3,3,2,3,0,0,27.5129,27.5129,1.0,4,4,1.0,8,8,1.0,14,14,1.0,4,4,1.0,4,4,1.0,6,6,1.0,7,7,1.0,7,7,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,3,3,1.0,DEM DEM DEM,DEM,False,True,True
858,ST,94536,835200,0,3,Centerville,True,858,1,1,0,0,1,0,11.0063,11.0063,1.0,2,2,1.0,4,4,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,3,3,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,REP,REP,False,True,True
859,PL/TER,94538,832910,0,3,Centerville,False,859,2,0,2,0,0,2,22.0126,20.0062,0.9088522028292887,4,2,0.5,8,6,0.75,12,10,0.8333333333333334,4,2,0.5,4,4,1.0,4,4,1.0,6,4,0.6666666666666666,6,6,1.0,2,0,0.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,NPP NPP,NPP,False,False,True
860,CMN,94536,835000,0,3,Downtown / BART,False,860,1,1,1,0,1,0,0.0,0.0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,REP,REP,False,True,True
