Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid,nVoters,nAff,nPAVs,nDEMs,nREPs,nNPPs,nVScorePos,nVScore,nVScorePct,E34_nVotesPos,E34_nVotes,E34_nVotesPct,E56_nVotesPos,E56_nVotes,E56_nVotesPct,E78_nVotesPos,E78_nVotes,E78_nVotesPct,E12_nVotesPos,E12_nVotes,E12_nVotesPct,E14_nVotesPos,E14_nVotes,E14_nVotesPct,E16_nVotesPos,E16_nVotes,E16_nVotesPct,Eap_nVotesPos,Eap_nVotes,Eap_nVotesPct,Eag_nVotesPos,Eag_nVotes,Eag_nVotesPct,E1_nVotesPos,E1_nVotes,E1_nVotesPct,E2_nVotesPos,E2_nVotes,E2_nVotesPct,E3_nVotesPos,E3_nVotes,E3_nVotesPct,E4_nVotesPos,E4_nVotes,E4_nVotesPct,E5_nVotesPos,E5_nVotes,E5_nVotesPct,E6_nVotesPos,E6_nVotes,E6_nVotesPct,PartiesInHH,mostAffls,mixedAffls,allAff,uniformAff
13,AVE,94536,835000,0,3,Downtown / BART,False,13,2,2,2,2,0,0,5.5003,5.5003,1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,1,1,1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,1,1,1.0,DEM DEM,DEM,False,True,True
14,CT,94536,832110,0,3,Centerville,False,14,2,2,2,2,0,0,22.0126,14.0048,0.6362174391030592,4,2,0.5,8,4,0.5,12,7,0.5833333333333334,4,2,0.5,4,2,0.5,4,3,0.75,6,2,0.3333333333333333,6,5,0.8333333333333334,2,0,0.0,2,2,1.0,2,1,0.5,2,1,0.5,2,1,0.5,2,2,1.0,DEM DEM,DEM,False,True,True
15,ST,94536,832110,0,3,Centerville,False,15,4,3,4,2,1,1,44.0252,18.4084,0.4181332509562705,8,4,0.5,16,6,0.375,24,10,0.4166666666666667,8,4,0.5,8,2,0.25,8,4,0.5,12,2,0.16666666666666666,12,8,0.6666666666666666,4,0,0.0,4,4,1.0,4,2,0.5,4,0,0.0,4,0,0.0,4,4,1.0,NPP DEM DEM REP,DEM,True,False,False
16,ST,94536,835100,0,3,Centerville,False,16,3,3,1,3,0,0,10.5005,5.0002,0.47618684824532165,0,0,-1.0,0,0,-1.0,4,2,0.5,0,0,-1.0,0,0,-1.0,4,2,0.5,1,0,0.0,3,2,0.6666666666666666,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,0,0.0,3,2,0.6666666666666666,DEM DEM DEM,DEM,False,True,True
17,CMN,94538,832610,1,3,Centerville,False,17,2,1,2,1,0,1,19.5078,5.0002,0.25631798562626235,2,0,0.0,6,0,0.0,10,2,0.2,2,0,0.0,4,0,0.0,4,2,0.5,5,0,0.0,5,2,0.4,1,0,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,2,1.0,DEM NPP,DEM,False,False,False
18,ST,94536,832110,0,3,Centerville,False,18,4,4,1,3,0,0,24.0049,16.103,0.6708213739694813,1,1,1.0,5,3,0.6,11,7,0.6363636363636364,1,1,1.0,4,2,0.5,6,4,0.6666666666666666,5,2,0.4,6,5,0.8333333333333334,0,0,-1.0,1,1,1.0,2,0,0.0,2,2,1.0,3,2,0.6666666666666666,3,2,0.6666666666666666,DEM DEM PF DEM,DEM,True,True,False
19,CMN,94538,835310,0,3,Downtown / BART,False,19,1,0,1,0,0,1,11.0063,4.0017,0.3635826753768296,2,1,0.5,4,1,0.25,6,2,0.3333333333333333,2,1,0.5,2,0,0.0,2,1,0.5,3,0,0.0,3,2,0.6666666666666666,1,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0,NPP,NPP,False,False,True
20,CT,94538,832800,0,3,Centerville,False,20,3,3,2,2,1,0,16.0065,5.0002,0.3123855933527005,2,0,0.0,4,0,0.0,8,2,0.25,2,0,0.0,2,0,0.0,4,2,0.5,3,0,0.0,5,2,0.4,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,3,2,0.6666666666666666,REP DEM DEM,REP,True,True,False
21,ST,94536,832210,1,3,Centerville,True,21,2,2,2,2,0,0,8.0004,2.5001,0.3124968751562422,0,0,-1.0,0,0,-1.0,3,1,0.3333333333333333,0,0,-1.0,0,0,-1.0,3,1,0.3333333333333333,1,0,0.0,2,1,0.5,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,0,0.0,2,1,0.5,DEM DEM,DEM,False,True,True
22,OTH,94538,832610,2,3,Centerville,True,22,1,1,1,1,0,0,10.0031,1.5016,0.15011346482590399,1,1,1.0,3,1,0.3333333333333333,5,1,0.2,1,1,1.0,2,0,0.0,2,0,0.0,2,0,0.0,3,1,0.3333333333333333,0,0,-1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,DEM,DEM,False,True,True
23,CMN,94538,832910,0,3,Centerville,False,23,1,0,1,0,0,1,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,NPP,NPP,False,False,True
24,ST,94536,835000,0,3,Downtown / BART,True,24,1,0,0,0,0,1,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,NPP,NPP,False,False,True
25,OTH,94538,832710,0,3,Centerville,False,25,5,5,0,5,0,0,52.5267,25.5075,0.48561017539651263,8,4,0.5,18,4,0.2222222222222222,28,11,0.39285714285714285,8,4,0.5,10,0,0.0,10,7,0.7,14,4,0.2857142857142857,14,7,0.5,4,0,0.0,4,4,1.0,5,0,0.0,5,0,0.0,5,4,0.8,5,3,0.6,DEM DEM DEM DEM DEM,DEM,False,True,True
26,PL/TER,94536,835100,0,3,Centerville,True,26,2,0,2,0,0,2,8.0004,0.0,0.0,0,0,-1.0,0,0,-1.0,3,0,0.0,0,0,-1.0,0,0,-1.0,3,0,0.0,1,0,0.0,2,0,0.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,0,0.0,2,0,0.0,NPP NPP,NPP,False,False,True
