Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
134,GRN,94536,835400,0,3,Downtown / BART,False
135,LN,94538,832610,2,3,Centerville,True
136,ST,94536,835400,0,3,Downtown / BART,True
137,CT,94538,832600,1,3,Centerville,False
138,DR,94536,832210,2,3,Centerville,False
139,DR,94536,832400,0,3,Centerville,False
140,DR,94538,832610,2,3,Centerville,True
141,DR,94538,832900,0,3,Centerville,False
142,CT,94538,832600,1,3,Centerville,False
143,AVE,94536,835500,0,3,Downtown / BART,True
144,CMN,94538,835310,0,3,Downtown / BART,False
145,BLVD,94538,832700,2,3,Centerville,True
146,DR,94536,832210,2,3,Centerville,False
147,DR,94538,832800,0,3,Centerville,False
148,WAY,94536,832400,0,3,Centerville,False
149,DR,94538,832900,0,3,Centerville,False
150,AVE,94536,835200,0,3,Centerville,True
151,DR,94538,832620,1,3,Centerville,False
152,WAY,94536,835410,0,3,Downtown / BART,False
153,CMN,94538,832610,1,3,Centerville,False
154,CMN,94536,835420,0,3,Downtown / BART,False
155,LN,94538,832900,0,3,Centerville,False
156,DR,94538,832900,0,3,Centerville,False
157,DR,94536,835300,0,3,Downtown / BART,True
158,ST,94536,835010,0,3,Centerville,False
159,WAY,94538,832600,1,3,Centerville,False
160,LN,94538,832610,2,3,Centerville,True
161,DR,94536,835400,0,3,Downtown / BART,True
162,WAY,94538,832600,1,3,Centerville,True
163,PKWY,94536,835300,0,3,Downtown / BART,True
164,PL,94538,832910,0,3,Centerville,False
165,CMN,94538,832610,1,3,Centerville,False
166,CT,94538,832900,0,3,Centerville,False
167,BLVD,94538,835310,0,3,Downtown / BART,True
168,DR,94538,832810,0,3,Centerville,False
169,BLVD,94538,835310,0,3,Downtown / BART,True
170,DR,94536,835400,0,3,Downtown / BART,False
171,CT,94536,832110,0,3,Centerville,False
172,CT,94536,835400,0,3,Downtown / BART,False
173,AVE,94536,835040,0,3,Downtown / BART,False
174,DR,94536,832110,0,3,Centerville,False
175,AVE,94538,832800,0,3,Centerville,False
176,CMN,94538,835310,0,3,Downtown / BART,False
177,DR,94536,835300,0,3,Downtown / BART,True
178,TER,94538,832910,0,3,Centerville,False
179,DR,94538,832620,1,3,Centerville,False
180,DR,94538,832620,2,3,Centerville,True
181,DR,94536,835300,0,3,Downtown / BART,True
182,TER,94538,832910,0,3,Centerville,False
183,BLVD,94538,832700,2,3,Centerville,True
184,PL,94536,835000,0,3,Downtown / BART,False
185,BLVD,94538,832700,2,3,Centerville,True
186,BLVD,94538,832700,1,3,Centerville,True
187,BLVD,94538,835310,0,3,Downtown / BART,True
188,CT,94538,832800,0,3,Centerville,False
189,CT,94536,832110,0,3,Centerville,False
190,BLVD,94538,832700,2,3,Centerville,True
191,DR,94536,835300,0,3,Downtown / BART,True
192,WAY,94536,835400,0,3,Downtown / BART,False
193,WAY,94538,832710,0,3,Centerville,False
194,ST,94538,832810,0,3,Centerville,False
195,BLVD,94538,832700,2,3,Centerville,True
196,CT,94536,835100,0,3,Centerville,False
197,BLVD,94538,832700,2,3,Centerville,True
198,BLVD,94538,835310,0,3,Downtown / BART,True
199,CMN,94536,835100,0,3,Centerville,False
200,DR,94536,832400,0,3,Centerville,False
201,LN,94538,832700,1,3,Centerville,False
202,LOOP,94536,835010,0,3,Centerville,False
203,DR,94538,832610,2,3,Centerville,True
204,BLVD,94538,835310,0,3,Downtown / BART,True
205,ST,94536,835000,0,3,Downtown / BART,True
206,RD,94538,832600,1,3,Centerville,False
207,BLVD,94536,832210,1,3,Centerville,True
208,AVE,94538,835300,0,3,Downtown / BART,True
209,PL,94538,832910,0,3,Centerville,False
210,CT,94536,835500,0,3,Downtown / BART,False
211,CT,94536,835000,0,3,Downtown / BART,False
212,AVE,94538,832620,2,3,Centerville,False
213,WAY,94538,832900,0,3,Centerville,False
214,AVE,94536,835500,0,3,Downtown / BART,True
215,CMN,94538,832610,1,3,Centerville,False
216,BLVD,94538,835310,0,3,Downtown / BART,True
217,AVE,94536,832110,0,3,Centerville,False
218,DR,94538,832620,1,3,Centerville,False
219,LN,94538,832700,1,3,Centerville,False
220,TER,94536,835500,0,3,Downtown / BART,False
221,WAY,94538,832900,0,3,Centerville,False
222,ST,94536,835200,0,3,Centerville,True
223,RD,94538,832600,1,3,Centerville,False
224,BLVD,94536,835000,0,3,Downtown / BART,True
225,AVE,94538,832600,1,3,Centerville,False
226,DR,94538,832900,0,3,Centerville,False
227,CT,94536,831730,0,3,Downtown / BART,False
228,TER,94538,832610,1,3,Centerville,False
229,CMN,94536,835100,0,3,Centerville,False
230,CMN,94538,835310,0,3,Downtown / BART,False
231,AVE,94538,832600,1,3,Centerville,False
232,ST,94538,832800,0,3,Centerville,False
233,CMN,94538,835310,0,3,Downtown / BART,False
234,GRN,94536,835400,0,3,Downtown / BART,False
235,WAY,94538,832620,2,3,Centerville,False
236,WAY,94538,832600,1,3,Centerville,True
237,DR,94538,832620,2,3,Centerville,True
238,BLVD,94538,832700,2,3,Centerville,True
