Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid
124,ST,94536,835400,0,3,Downtown / BART,False,124
125,DR,94538,832620,2,3,Centerville,True,125
126,BLVD,94536,835100,0,3,Centerville,False,126
127,BLVD,94538,832700,1,3,Centerville,True,127
128,BLVD,94538,832700,1,3,Centerville,True,128
129,CT,94538,832600,1,3,Centerville,False,129
130,DR,94536,832110,0,3,Centerville,False,130
131,DR,94538,832610,2,3,Centerville,True,131
132,RD,94538,832600,1,3,Centerville,False,132
133,CMN,94538,832610,1,3,Centerville,False,133
134,ST,94536,835400,0,3,Downtown / BART,False,134
135,DR,94538,832800,0,3,Centerville,False,135
136,WAY,94538,832710,0,3,Centerville,False,136
137,ST,94536,835000,0,3,Downtown / BART,True,137
138,WAY,94538,832600,1,3,Centerville,True,138
139,DR,94536,835300,0,3,Downtown / BART,True,139
140,BLVD,94538,835310,0,3,Downtown / BART,True,140
141,AVE,94536,835040,0,3,Downtown / BART,False,141
142,AVE,94536,835040,0,3,Downtown / BART,False,142
143,DR,94536,832210,2,3,Centerville,True,143
144,BLVD,94536,835000,0,3,Downtown / BART,True,144
145,CT,94538,832800,0,3,Centerville,False,145
146,WAY,94538,832600,1,3,Centerville,True,146
147,AVE,94538,832400,0,3,Centerville,True,147
148,CMN,94538,832620,2,3,Centerville,False,148
149,CT,94536,835000,0,3,Downtown / BART,False,149
150,CMN,94536,835100,0,3,Centerville,False,150
151,DR,94538,832620,2,3,Centerville,False,151
152,LN,94538,832700,1,3,Centerville,False,152
153,AVE,94538,832600,1,3,Centerville,False,153
154,TER,94538,832610,2,3,Centerville,False,154
155,TER,94536,832110,0,3,Centerville,False,155
156,DR,94536,835300,0,3,Downtown / BART,True,156
157,BLVD,94538,832700,2,3,Centerville,True,157
158,ST,94536,832110,0,3,Centerville,False,158
159,PL,94536,835000,0,3,Downtown / BART,False,159
160,DR,94538,832900,0,3,Centerville,False,160
161,ST,94538,832800,0,3,Centerville,False,161
162,CT,94536,835100,0,3,Centerville,False,162
163,LN,94538,832900,0,3,Centerville,False,163
164,RD,94538,832900,0,3,Centerville,False,164
165,BLVD,94536,832210,1,3,Centerville,True,165
166,LN,94538,832900,0,3,Centerville,False,166
167,ST,94536,835400,0,3,Downtown / BART,False,167
